space_name,address,postcode,brand,checkin,checkout
"Kingsland Road, Shoreditch – The Blue Vintage Shop",17b Kingsland Road,E2 8AA,MARU Pop Up,2025-11-20,2025-11-23
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,RIXO,2025-11-18,2025-11-24
Bethnal Green Road - The Corner Space,123 Bethnal Green Road,E2 7DG,Mark+Fold Pop Up,2025-11-10,2025-11-25
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Fruity Bootique,2025-11-19,2025-11-30
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,Club72 Drop 12 - London Pop Up,2025-11-27,2025-11-30
"Kingsland Road, Shoreditch – The Blue Vintage Shop",17b Kingsland Road,E2 8AA,Echt Productions,2025-11-27,2025-12-01
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,TOVE,2025-11-17,2025-12-02
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Pop Up Martini Sampling Event,2025-12-02,2025-12-06
Bethnal Green Road - The Corner Space,123 Bethnal Green Road,E2 7DG,Alchemy London,2025-11-26,2025-12-07
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,moomies,2025-12-06,2025-12-07
"Kingsland Road, Shoreditch – The Blue Vintage Shop",17b Kingsland Road,E2 8AA,Tink Collective,2025-12-05,2025-12-07
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Love and London Souvenir Shop,2025-11-25,2025-12-08
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Lili Curia,2025-12-03,2025-12-09
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Discotheque,2025-12-09,2025-12-09
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Lloyds Bank - Studio Beam,2025-12-08,2025-12-10
Marylebone High Street — The Modern Store,3 Paddington Street,W1U 5QD,Hot Chocolate Dispensing Billboard,2025-12-09,2025-12-11
"Kingsland Road, Shoreditch – The Blue Vintage Shop",17b Kingsland Road,E2 8AA,LA FETICHE,2025-12-11,2025-12-14
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Hope Macaulay London Pop-up Shop,2025-12-11,2025-12-14
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,Yankee Racers LTD,2025-12-11,2025-12-14
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Cou Cou intimates,2025-12-11,2025-12-14
Bethnal Green Road - The Corner Space,123 Bethnal Green Road,E2 7DG,Adhominem,2025-12-08,2025-12-14
Eastcastle Street - The Grand Store,36 Eastcastle Street,W1W 8DP,Rye Artiste Pop Up,2025-12-03,2025-12-15
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Discotheque,2025-12-10,2025-12-15
"Portobello Road, Notting Hill – The White Arcade Shop",Unit 25 281 Portobello Road,W10 5TZ,700QiBai Space,2025-11-13,2025-12-15
"Portobello Road, Notting Hill – The White Arcade Shop",Unit 25 281 Portobello Road,W10 5TZ,700QiBai Space,2025-12-16,2025-12-17
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Unity Coffee Launch,2025-12-16,2025-12-18
"Portobello Road, Notting Hill – The White Arcade Shop",Unit 25 281 Portobello Road,W10 5TZ,Angelo's Archives,2025-12-19,2025-12-20
"Kingsland Road, Dalston - The Raw Glass Shop",259 Kingsland Road,E2 8AS,cheongsam pop up,2025-10-24,2025-12-21
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Vintimié,2025-12-19,2025-12-21
"Kingsland Road, Shoreditch – The Blue Vintage Shop",17b Kingsland Road,E2 8AA,Caspar The Label Holiday Store,2025-12-19,2025-12-21
"Kingsland Road, Shoreditch - The Black Brick Shop",11A Kingsland Road,E2 8AA,Suez Studio,2025-12-18,2025-12-21
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,VESCARTES,2025-12-19,2025-12-22
"Kingsland Road, Dalston - The Raw Glass Shop",259 Kingsland Road,E2 8AS,cheongsam pop up,2025-12-23,2025-12-23
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Clossie,2025-12-15,2025-12-24
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,real life,2025-12-26,2025-12-26
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Get Over It Ltd,2025-12-31,2025-12-31
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,Norse Projects AW26 Showroom,2026-01-05,2026-01-10
"The Sidings, Waterloo — The White Box Retail Space (UG11)",UG11 The Sidings Waterloo,SE1 7LY,Animate/ JPT EUROPE LTD,2025-10-27,2026-01-10
"Kensington Park Road, Notting Hill - The Glassfront Shop",19 Kensington Park Road,W11 2EU,Meri Meri,2025-08-01,2026-01-15
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,Halcyon Collective,2026-01-16,2026-01-16
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,Halcyon Collective,2026-01-17,2026-01-18
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Black & White Press Day,2026-01-20,2026-01-21
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Black & White Press Day,2026-01-22,2026-01-22
"The Sidings, Waterloo — The White Box Retail Space (UG11)",UG11 The Sidings Waterloo,SE1 7LY,Animate/ JPT EUROPE LTD,2026-01-11,2026-01-31
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,ALIGNE Sample Sale,2026-01-28,2026-01-31
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Undercurrent Retail Experience,2026-01-23,2026-02-01
"The Sidings, Waterloo — The Retail Space (UG07)",UG07 The Sidings Waterloo,SE1 7LY,K-pop Korner London,2026-02-05,2026-02-05
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,ISTO. London Pop-Up,2026-02-05,2026-02-08
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Barratt London step on the ladder week,2026-02-02,2026-02-09
"Kingsland Road, Shoreditch - The Black Brick Shop",11A Kingsland Road,E2 8AA,Hawksmoor,2026-02-09,2026-02-10
"Bateman Street, Soho - The Gallery",15 Bateman Street,W1D 3AQ,Original Fibres Archive Sale,2026-02-10,2026-02-12
Bethnal Green Road - The Corner Space,123 Bethnal Green Road,E2 7DG,Sad dog london pop up,2026-02-05,2026-02-15
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Gregg's Wellness Studio,2026-02-12,2026-02-15
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,Kroen LTD,2026-02-15,2026-02-15
"Bateman Street, Soho - The Gallery",15 Bateman Street,W1D 3AQ,LF New Season,2026-02-18,2026-02-19
